OBJECTID,YEAR_PM25_sample_pnt,X,Y,ymean_2020_AOD47,ymean_2020_nNDVI,ymean_2020_TMP,ymean_2020_SPFH,ymean_2020_WIND,ymean_2020_HGT,ymean_2020_PM25
69,69,-108.126280620098782,48.298482697738677,0.2492108,0.2505217,7.2837052,0.0045807,3.9846535,754.5703125,8.2393723
70,70,-107.503074391740881,48.298482697738677,0.2384691,0.2244478,7.0636554,0.0044601,4.4263778,745.7812500,8.4255877
71,71,-106.879868163382980,48.298482697738677,0.2480029,0.2615957,6.7785516,0.0043972,4.5580006,713.6718750,7.8033271
72,72,-106.256661935025022,48.298482697738677,0.2554986,0.2615957,5.4251413,0.0044796,4.3310533,820.0898438,6.9096127
73,73,-105.633455706667121,48.298482697738677,0.2540083,0.2749043,5.5704341,0.0044881,4.2318249,778.9843750,6.5782018
74,74,-105.010249478309220,48.298482697738677,0.2571309,0.2894130,5.7162824,0.0044710,4.0426526,710.8554688,6.4461665
75,75,-104.387043249951148,48.298482697738677,0.2592295,0.2816696,5.7512574,0.0045958,4.0060234,633.7656250,6.2394867
76,76,-103.763837021593247,48.298482697738677,0.2410827,0.2915000,6.2487879,0.0047986,5.1306677,633.9414062,6.0516210
77,77,-103.140630793235459,48.298482697738677,0.2680570,0.2915000,5.6115680,0.0049075,5.1050110,644.1601562,5.9333463
78,78,-102.517424564877444,48.298482697738677,0.2570944,0.3203565,5.2206883,0.0048644,4.9438410,677.0312500,5.9551616
79,79,-101.894218336519543,48.298482697738677,0.2473689,0.3361304,4.9592853,0.0048332,4.9225473,653.1054688,6.0173216
80,80,-101.271012108161642,48.298482697738677,0.2421241,0.3420696,5.9158273,0.0050182,4.5777283,481.6367188,6.0272722
81,81,-100.647805879803741,48.298482697738677,0.2096148,0.3420696,5.6632352,0.0051374,4.6758785,459.0976562,6.0787654
82,82,-100.024599651445840,48.298482697738677,0.2602861,0.3221217,5.0468268,0.0052535,4.9831691,470.5898438,6.1281605
83,83,-99.401393423087939,48.298482697738677,0.2295640,0.2677304,4.7249866,0.0053388,5.1588931,478.7734375,6.2388110
84,84,-98.778187194730037,48.298482697738677,0.2446589,0.2829217,4.6706195,0.0054047,5.1570354,442.9257812,6.3942990
85,85,-98.154980966372079,48.298482697738677,0.2300839,0.3034435,4.4385524,0.0054557,5.3122554,432.1718750,6.5130029
86,86,-97.531774738014178,48.298482697738677,0.2315412,0.3034435,4.9762578,0.0053474,4.6221390,269.9101562,6.5920954
87,87,-96.908568509656277,48.298482697738677,0.1944601,0.2988783,4.7105575,0.0051517,4.9060774,245.7773438,6.5322576
88,88,-96.285362281298376,48.298482697738677,0.2029505,0.3414348,4.3336368,0.0051973,4.9486947,302.9296875,6.3969727
89,89,-95.662156052940418,48.298482697738677,0.2216900,0.3996609,4.3479605,0.0052620,4.0908775,363.8359375,6.0332422
90,90,-95.038949824582517,48.298482697738677,0.1892967,0.3996609,4.5347919,0.0052605,3.0160196,367.6523438,5.6709814
91,91,-94.415743596224615,48.298482697738677,0.1901380,0.4903739,4.4831347,0.0050793,2.8426914,359.9570312,5.5868459
92,92,-93.792537367866601,48.298482697738677,0.1861070,0.5370957,4.4993501,0.0049343,2.3102133,361.0273438,5.6599865
93,93,-93.169331139508699,48.298482697738677,0.2000000,0.5083131,4.3218069,0.0048258,1.9962835,384.4531250,5.6982174
94,94,-92.546124911150798,48.298482697738677,0.2032472,0.4750130,3.7904143,0.0048458,1.5617121,376.6562500,5.6674337
95,95,-124.329642557404668,47.675276469380719,0.1880372,0.7706609,9.5151625,0.0066734,2.2752657,296.1289062,9.3772478
96,96,-123.706436329046596,47.675276469380719,0.1777302,0.6325826,6.6174541,0.0056479,3.2190368,973.5312500,7.8260398
97,97,-123.083230100688809,47.675276469380719,0.1899510,0.6072043,6.9266696,0.0057634,3.0213621,913.1953125,10.1668501
98,98,-122.460023872330908,47.675276469380719,0.2113934,0.6072043,10.6968012,0.0067547,2.1721659,47.6914062,11.4926310
99,99,-121.836817643972893,47.675276469380719,0.2148929,0.6104174,10.8891325,0.0066635,1.6162680,187.1210938,9.4427423
100,100,-121.213611415614992,47.675276469380719,0.2047785,0.4900044,4.6057086,0.0048915,3.8432310,1405.2851562,7.3362961
101,101,-120.590405187257090,47.675276469380719,0.2187673,0.3627869,7.5559473,0.0047313,3.2190092,945.8359375,6.8845096
102,102,-119.967198958899189,47.675276469380719,0.2635483,0.2694478,9.4457321,0.0044281,3.1272526,718.0468750,8.9377060
103,103,-119.343992730541288,47.675276469380719,0.2133299,0.2694478,10.3360252,0.0044644,3.1340237,574.8281250,13.3610802
104,104,-118.720786502183387,47.675276469380719,0.2565700,0.3014217,9.3260574,0.0046344,3.6066899,676.4414062,12.8061819
105,105,-118.097580273825429,47.675276469380719,0.2894032,0.3714304,9.1232700,0.0048662,3.2661033,714.3671875,12.9625673
106,106,-117.474374045467528,47.675276469380719,0.2322813,0.4992565,9.2084904,0.0050783,2.2455750,658.2734375,11.4641294
107,107,-116.851167817109626,47.675276469380719,0.2351642,0.4992565,8.8392515,0.0052146,2.2077410,802.0468750,11.9900761
108,108,-116.227961588751725,47.675276469380719,0.2198529,0.5909348,6.8062530,0.0049791,2.5463963,1206.2343750,10.3756294
109,109,-115.604755360393824,47.675276469380719,0.2022443,0.5395913,5.9406414,0.0048409,2.8535392,1313.0703125,9.3866339
110,110,-114.981549132035866,47.675276469380719,0.2055670,0.4391826,5.9499679,0.0047805,3.2597489,1381.8437500,9.3017149
111,111,-114.358342903677965,47.675276469380719,0.2508494,0.4049261,7.7465854,0.0048142,2.3050120,1054.3164062,9.1733112
112,112,-113.735136675320064,47.675276469380719,0.2161021,0.4049261,3.4079187,0.0044926,3.4612365,1750.6640625,8.2352962
113,113,-113.111930446962049,47.675276469380719,0.2455979,0.3343348,2.5939069,0.0041897,4.4350424,1956.8632812,7.9332075
114,114,-112.488724218604148,47.675276469380719,0.2143707,0.2992826,6.9783502,0.0040813,5.3944430,1382.8203125,7.7531962
115,115,-111.865517990246246,47.675276469380719,0.2286803,0.2939696,7.1704831,0.0041619,4.8398643,1178.5703125,8.1767731
116,116,-111.242311761888288,47.675276469380719,0.2292895,0.3140478,7.1942797,0.0042155,4.8338008,1104.9921875,8.5550537
117,117,-110.619105533530387,47.675276469380719,0.2497872,0.3140478,8.3814812,0.0043896,4.8486028,969.7968750,8.4455013
118,118,-109.995899305172486,47.675276469380719,0.2453381,0.2959348,8.0945787,0.0044094,4.2629995,918.5664062,7.9813104
119,119,-109.372693076814585,47.675276469380719,0.2517333,0.2747739,7.7736597,0.0043378,3.6691842,955.8867188,7.6881018
120,120,-108.749486848456684,47.675276469380719,0.2290939,0.2916696,8.4016237,0.0044115,4.1572342,936.8007812,7.7530422
121,121,-108.126280620098782,47.675276469380719,0.2115587,0.2916696,8.7912254,0.0045379,3.6386337,768.0625000,7.9951534
122,122,-107.503074391740881,47.675276469380719,0.2183409,0.2733870,8.4715395,0.0045399,4.2990069,829.3632812,8.3256235
123,123,-106.879868163382980,47.675276469380719,0.2237032,0.2544130,8.6408606,0.0045905,4.4171810,769.9804688,8.3732805
124,124,-106.256661935025022,47.675276469380719,0.2305124,0.2566304,8.3245831,0.0046922,4.0650663,726.6250000,7.7016120
125,125,-105.633455706667121,47.675276469380719,0.2540739,0.2905609,7.1325393,0.0045343,4.0139556,729.7812500,7.1573858
