OBJECTID,YEAR_PM25_train_pnt,X,Y,ymean_2022_AOD47,ymean_2022_nNDVI,ymean_2022_TMP,ymean_2022_SPFH,ymean_2022_WIND,ymean_2022_HGT,ymean_2022_PM25
1,1,-122.460023872330908,48.921688926096692,0.2177029,0.5828696,9.7943859,0.0063382,2.5674307,132.7734375,16.3127098
2,2,-121.836817643972893,48.921688926096692,0.0964548,0.3589391,6.4757829,0.0052910,2.9462025,926.8437500,20.8470383
3,3,-121.213611415614992,48.921688926096692,0.1505184,0.3427131,4.1156545,0.0047217,3.2938313,1361.1367188,27.7316914
4,4,-120.590405187257090,48.921688926096692,0.1676732,0.3427131,2.1080737,0.0041639,3.2598958,1702.3593750,35.5032806
5,5,-119.967198958899189,48.921688926096692,0.1132787,0.3435565,3.8118355,0.0039202,3.2501180,1515.5781250,20.9547157
6,6,-119.343992730541288,48.921688926096692,0.1387558,0.4106652,7.2498913,0.0044085,2.4395475,885.6367188,18.9166412
7,7,-118.720786502183387,48.921688926096692,0.1593639,0.4550826,6.0509467,0.0042598,1.7905309,1064.5781250,9.8458548
8,8,-118.097580273825429,48.921688926096692,0.1443486,0.4550826,6.2919054,0.0044145,1.8413769,1015.1367188,9.8347902
9,9,-117.474374045467528,48.921688926096692,0.1172822,0.4840652,5.0318141,0.0046144,2.0323913,1242.2656250,10.0507908
10,10,-116.851167817109626,48.921688926096692,0.1354582,0.4510348,3.8176994,0.0046055,2.3690042,1419.1914062,11.8555355
11,11,-116.227961588751725,48.921688926096692,0.1781219,0.4678000,5.6733232,0.0048450,2.4507008,1099.4218750,11.9621992
12,12,-115.604755360393824,48.921688926096692,0.1303446,0.4418261,3.9105513,0.0044825,2.4247983,1388.1406250,10.6192789
13,13,-114.981549132035866,48.921688926096692,0.1462556,0.4418261,2.1559036,0.0041857,4.0199060,1721.1015625,9.0260763
14,14,-114.358342903677965,48.921688926096692,0.1049928,0.3243522,1.4517226,0.0041217,4.2584119,1762.7734375,7.4925804
15,15,-113.735136675320064,48.921688926096692,0.1288327,0.2575435,1.4308183,0.0041645,5.4747734,1834.6054688,6.0992966
16,16,-113.111930446962049,48.921688926096692,0.1623507,0.2092565,4.4645357,0.0042819,5.8875446,1466.5468750,5.7683673
17,17,-112.488724218604148,48.921688926096692,0.2026104,0.2092565,4.6301107,0.0044127,5.8259821,1277.7968750,5.6587720
18,18,-111.865517990246246,48.921688926096692,0.2183848,0.1865435,5.6817827,0.0043335,5.3118196,1077.7382812,5.8683476
19,19,-111.242311761888288,48.921688926096692,0.1595346,0.1899956,6.0063519,0.0043216,5.8294411,1078.8515625,6.1031585
20,20,-110.619105533530387,48.921688926096692,0.2063487,0.1903348,5.5942092,0.0042628,5.8433247,954.3437500,7.3317976
21,21,-109.995899305172486,48.921688926096692,0.2029333,0.1903348,5.9815784,0.0043110,5.4376802,849.8125000,7.6315179
22,22,-109.372693076814585,48.921688926096692,0.1981026,0.1976565,5.0839300,0.0043143,5.2744102,849.0273438,7.9934611
23,23,-108.749486848456684,48.921688926096692,0.1941236,0.1893696,4.6863346,0.0042598,5.6684699,953.6445312,7.6756802
24,24,-108.126280620098782,48.921688926096692,0.1878631,0.2032826,4.6996441,0.0041292,5.3071017,872.8281250,7.7340837
25,25,-107.503074391740881,48.921688926096692,0.1933965,0.2004783,4.6016798,0.0040341,5.1704135,813.3671875,7.6070576
26,26,-106.879868163382980,48.921688926096692,0.1810903,0.2004783,3.9883106,0.0043235,4.9926271,862.3203125,6.7457566
27,27,-106.256661935025022,48.921688926096692,0.1833012,0.2180609,3.7158089,0.0042385,5.1050253,896.8945312,6.0523400
28,28,-105.633455706667121,48.921688926096692,0.1983191,0.2284261,3.8679395,0.0042751,4.7530217,797.7656250,5.7858057
29,29,-105.010249478309220,48.921688926096692,0.1866431,0.2322000,3.9840631,0.0045189,5.5062308,763.2968750,5.5698647
30,30,-104.387043249951148,48.921688926096692,0.1743152,0.2322000,4.1169081,0.0047805,6.0155578,698.6953125,5.4239101
31,31,-103.763837021593247,48.921688926096692,0.1780984,0.2461130,3.2267361,0.0048777,6.4577613,661.1171875,5.3580770
32,32,-103.140630793235459,48.921688926096692,0.1757588,0.2729957,3.0716841,0.0049788,6.1194816,644.6367188,5.3738866
33,33,-102.517424564877444,48.921688926096692,0.1860647,0.2588870,3.1204758,0.0051271,5.9384890,626.5234375,5.3091626
34,34,-101.894218336519543,48.921688926096692,0.1690742,0.2588870,2.9969263,0.0052101,5.5555754,566.3085938,5.2053480
35,35,-101.271012108161642,48.921688926096692,0.1964019,0.2819000,2.8793082,0.0050713,5.1711788,455.1367188,5.1326365
36,36,-100.647805879803741,48.921688926096692,0.1978964,0.2758130,2.5608137,0.0049622,5.4508586,531.5781250,5.0173473
37,37,-100.024599651445840,48.921688926096692,0.1941390,0.2806522,2.1218278,0.0048788,5.2876258,627.9179688,4.9606824
38,38,-99.401393423087939,48.921688926096692,0.1893371,0.2666609,2.1266203,0.0050643,5.5386863,534.8085938,4.9879880
39,39,-98.778187194730037,48.921688926096692,0.1925719,0.2666609,2.1539145,0.0052388,5.3622360,467.3867188,5.0705719
40,40,-98.154980966372079,48.921688926096692,0.2090993,0.2888131,2.8224421,0.0051956,5.0767946,373.1562500,5.2511215
41,41,-97.531774738014178,48.921688926096692,0.1884286,0.2936696,3.0554163,0.0051468,4.9656696,251.0039062,5.3403344
42,42,-96.908568509656277,48.921688926096692,0.1887881,0.3370783,2.7019031,0.0051147,5.4880304,251.9648438,5.2500358
43,43,-96.285362281298376,48.921688926096692,0.1567519,0.3370783,2.4841650,0.0049860,5.2409663,303.4609375,5.2266536
44,44,-95.662156052940418,48.921688926096692,0.1629115,0.3973087,2.5852003,0.0050773,3.3678138,328.2500000,5.1973662
45,45,-95.038949824582517,48.921688926096692,0.1734089,0.3988217,2.0823231,0.0051842,4.9637194,319.7773438,5.0026240
46,46,-122.460023872330908,48.298482697738677,0.2154175,0.6198130,10.1532936,0.0065396,2.3116622,106.8046875,16.3311901
47,47,-121.836817643972893,48.298482697738677,0.1495574,0.5300043,8.0549011,0.0058513,2.3380482,648.0937500,16.0143394
48,48,-121.213611415614992,48.298482697738677,0.1202738,0.3523826,5.1014929,0.0049319,2.9291117,1255.3085938,15.3565445
49,49,-120.590405187257090,48.298482697738677,0.1626084,0.2816261,3.3606713,0.0042215,3.6542346,1563.9296875,15.4259768
50,50,-119.967198958899189,48.298482697738677,0.1552853,0.2816261,6.3443012,0.0040961,2.9178212,1113.6093750,12.8703251
51,51,-119.343992730541288,48.298482697738677,0.1592255,0.3152087,8.3964138,0.0042945,2.4182189,764.8984375,12.8519964
52,52,-118.720786502183387,48.298482697738677,0.1453798,0.4472913,6.9345708,0.0043972,2.1672010,1022.1953125,11.1122093
53,53,-118.097580273825429,48.298482697738677,0.1812788,0.4806609,7.7090025,0.0047504,2.2714491,851.6875000,12.6273870
54,54,-117.474374045467528,48.298482697738677,0.1140914,0.4806609,6.3366566,0.0047936,1.5897796,939.7500000,13.8652706
55,55,-116.851167817109626,48.298482697738677,0.1371015,0.4901696,7.2367115,0.0053483,1.9654070,805.7382812,13.2595167
56,56,-116.227961588751725,48.298482697738677,0.1570308,0.4357391,5.8556714,0.0049350,2.8736298,1187.1718750,12.7998028
57,57,-115.604755360393824,48.298482697738677,0.1203174,0.4541348,5.5893388,0.0046692,2.6525505,1219.1289062,9.3131056
58,58,-114.981549132035866,48.298482697738677,0.1442955,0.4221174,5.9349890,0.0045074,2.1137888,1219.8281250,7.9139762
59,59,-114.358342903677965,48.298482697738677,0.1837742,0.4221174,4.8143940,0.0046947,2.3681226,1247.9335938,7.8014488
60,60,-113.735136675320064,48.298482697738677,0.1211654,0.3557696,3.2718432,0.0043888,3.2837405,1611.3046875,6.8638043
61,61,-113.111930446962049,48.298482697738677,0.1466705,0.2640391,2.3615780,0.0041855,5.4112530,1801.8789062,6.0432682
62,62,-112.488724218604148,48.298482697738677,0.1986254,0.2073217,6.1248813,0.0041743,5.6376076,1318.3671875,5.9887905
63,63,-111.865517990246246,48.298482697738677,0.1964428,0.2073217,6.3373837,0.0042365,5.0303583,1120.5234375,6.2416325
64,64,-111.242311761888288,48.298482697738677,0.1960444,0.1906652,6.1363049,0.0044018,5.0086374,942.7500000,6.4783244
65,65,-110.619105533530387,48.298482697738677,0.2150123,0.1889739,6.2709489,0.0043066,4.9560676,924.1992188,6.7037983
66,66,-109.995899305172486,48.298482697738677,0.2214910,0.2599217,6.6688242,0.0043953,4.6247706,850.8593750,6.6162109
67,67,-109.372693076814585,48.298482697738677,0.1804864,0.2459522,5.3907580,0.0042619,5.0980787,1312.6562500,6.6621346
68,68,-108.749486848456684,48.298482697738677,0.1860657,0.2459522,6.9883757,0.0045136,4.5270309,847.7070312,6.8235712
69,69,-108.126280620098782,48.298482697738677,0.2183288,0.2063739,6.5187459,0.0044384,4.6314526,754.5703125,7.3776798
70,70,-107.503074391740881,48.298482697738677,0.1855460,0.1829174,6.2551565,0.0043148,4.9721355,745.7812500,7.9069524
71,71,-106.879868163382980,48.298482697738677,0.1886537,0.2015043,6.2081022,0.0043720,5.2427573,713.6718750,7.3788114
72,72,-106.256661935025022,48.298482697738677,0.1899671,0.2015043,4.7880106,0.0045040,5.4301238,820.0898438,6.4878702
73,73,-105.633455706667121,48.298482697738677,0.1961454,0.2125348,4.7432632,0.0044881,5.3528013,778.9843750,6.1890202
74,74,-105.010249478309220,48.298482697738677,0.1801140,0.2252609,4.7884064,0.0046405,5.1910868,710.8554688,5.9908643
75,75,-104.387043249951148,48.298482697738677,0.1912358,0.2417957,4.7200203,0.0048414,5.0607944,633.7656250,5.7136836
76,76,-103.763837021593247,48.298482697738677,0.1961340,0.2431826,4.7455935,0.0049482,6.1475186,633.9414062,5.5426927
77,77,-103.140630793235459,48.298482697738677,0.1998076,0.2431826,4.0947828,0.0050472,5.9181852,644.1601562,5.4311051
78,78,-102.517424564877444,48.298482697738677,0.1898355,0.2454913,3.6565785,0.0050413,5.7723966,677.0312500,5.3371768
79,79,-101.894218336519543,48.298482697738677,0.1976787,0.2655913,3.3724337,0.0050513,5.5808582,653.1054688,5.2695236
80,80,-101.271012108161642,48.298482697738677,0.1954271,0.2794739,3.8663425,0.0050871,5.6242290,481.6367188,5.2319865
81,81,-100.647805879803741,48.298482697738677,0.1667351,0.2794739,3.6086447,0.0051480,5.6385226,459.0976562,5.1261306
82,82,-100.024599651445840,48.298482697738677,0.1941617,0.2830174,3.1333659,0.0051607,5.8598213,470.5898438,5.0574937
83,83,-99.401393423087939,48.298482697738677,0.1960278,0.2481348,2.8790276,0.0052146,6.1754227,478.7734375,5.0825748
84,84,-98.778187194730037,48.298482697738677,0.2026184,0.2676391,3.0333610,0.0053001,6.3452172,442.9257812,5.1502829
85,85,-98.154980966372079,48.298482697738677,0.1731956,0.2878522,2.7961464,0.0052661,6.9202995,432.1718750,5.2871585
86,86,-97.531774738014178,48.298482697738677,0.2000764,0.2878522,3.6124277,0.0053582,5.6445789,269.9101562,5.4127173
87,87,-96.908568509656277,48.298482697738677,0.1756426,0.2886783,3.5014184,0.0054017,5.6512399,245.7773438,5.3665786
88,88,-96.285362281298376,48.298482697738677,0.1711888,0.3160565,3.0847940,0.0053124,6.0894341,302.9296875,5.2781925
89,89,-95.662156052940418,48.298482697738677,0.1877164,0.3686130,2.9884536,0.0053609,4.7898722,363.8359375,5.2198491
90,90,-95.038949824582517,48.298482697738677,0.1447629,0.3686130,3.2865350,0.0053298,3.3705397,367.6523438,5.1483326
91,91,-94.415743596224615,48.298482697738677,0.1578932,0.4520739,3.0479934,0.0051975,2.9284995,359.9570312,5.0823135
92,92,-93.792537367866601,48.298482697738677,0.1609348,0.4868739,2.9194572,0.0050351,2.4970531,361.0273438,5.1228051
93,93,-93.169331139508699,48.298482697738677,0.1309432,0.4659217,2.9173596,0.0048652,2.3837802,384.4531250,5.1372476
94,94,-92.546124911150798,48.298482697738677,0.1279681,0.4316826,2.2941287,0.0047446,1.8102216,376.6562500,5.0944009
95,95,-124.329642557404668,47.675276469380719,0.1278753,0.7196087,8.9004459,0.0063123,1.6823133,296.1289062,7.6230822
96,96,-123.706436329046596,47.675276469380719,0.0807426,0.5955043,6.6596355,0.0052723,2.7111940,973.5312500,7.1822963
97,97,-123.083230100688809,47.675276469380719,0.0852760,0.5768348,6.7974901,0.0054452,2.7029138,913.1953125,9.6152096
98,98,-122.460023872330908,47.675276469380719,0.1876175,0.5768348,10.3076191,0.0066005,2.2464266,47.6914062,13.8662777
99,99,-121.836817643972893,47.675276469380719,0.1700187,0.5671130,10.6210842,0.0066553,1.7366252,187.1210938,14.7283916
100,100,-121.213611415614992,47.675276469380719,0.0964490,0.4545304,4.5093369,0.0046957,3.3356168,1405.2851562,14.2731810
101,101,-120.590405187257090,47.675276469380719,0.1740048,0.3453609,6.7508526,0.0045641,3.0059373,945.8359375,11.8285856
102,102,-119.967198958899189,47.675276469380719,0.2487654,0.2264826,8.2259979,0.0043729,3.1563759,718.0468750,9.7506762
103,103,-119.343992730541288,47.675276469380719,0.2009259,0.2264826,9.2538033,0.0044572,3.8139164,574.8281250,10.0377026
104,104,-118.720786502183387,47.675276469380719,0.2173808,0.2359391,8.2110615,0.0047670,4.5269399,676.4414062,9.7787695
105,105,-118.097580273825429,47.675276469380719,0.2384905,0.3048913,8.2155504,0.0048701,3.4922705,714.3671875,10.4204788
106,106,-117.474374045467528,47.675276469380719,0.1815213,0.4236565,8.5436325,0.0050632,2.2154357,658.2734375,9.9465876
107,107,-116.851167817109626,47.675276469380719,0.1954103,0.4236565,8.1206150,0.0052062,2.3488598,802.0468750,9.1945486
108,108,-116.227961588751725,47.675276469380719,0.0999972,0.5049217,6.5257063,0.0048944,2.4707444,1206.2343750,9.1234512
109,109,-115.604755360393824,47.675276469380719,0.1262607,0.4642391,5.5822582,0.0046656,2.5419250,1313.0703125,8.9109125
110,110,-114.981549132035866,47.675276469380719,0.1417961,0.3869174,5.6598716,0.0045768,3.0557451,1381.8437500,9.3456659
111,111,-114.358342903677965,47.675276469380719,0.1950850,0.3573826,7.0173197,0.0046595,2.2110002,1054.3164062,9.6060209
112,112,-113.735136675320064,47.675276469380719,0.1159625,0.3573826,3.1632988,0.0043093,3.4534235,1750.6640625,8.5628481
113,113,-113.111930446962049,47.675276469380719,0.1348292,0.3148174,2.2449648,0.0040587,4.3490968,1956.8632812,7.0508885
114,114,-112.488724218604148,47.675276469380719,0.1621677,0.2534826,6.5361404,0.0040839,5.0455317,1382.8203125,6.1900339
115,115,-111.865517990246246,47.675276469380719,0.1927574,0.2446391,6.7434273,0.0040974,4.8173842,1178.5703125,6.1647859
116,116,-111.242311761888288,47.675276469380719,0.1921468,0.2579304,6.6275339,0.0042068,4.7878895,1104.9921875,6.2081294
117,117,-110.619105533530387,47.675276469380719,0.2141376,0.2579304,7.7384558,0.0045240,5.1433840,969.7968750,6.2028165
118,118,-109.995899305172486,47.675276469380719,0.1957753,0.2364652,7.4278107,0.0045399,4.5067172,918.5664062,6.0188060
119,119,-109.372693076814585,47.675276469380719,0.1847661,0.2262913,7.2153606,0.0044151,3.8913455,955.8867188,5.8836117
120,120,-108.749486848456684,47.675276469380719,0.1732277,0.2371391,8.0427418,0.0042573,4.6072392,936.8007812,6.1692138
121,121,-108.126280620098782,47.675276469380719,0.1786979,0.2371391,8.1649399,0.0045586,4.1296349,768.0625000,7.0096006
122,122,-107.503074391740881,47.675276469380719,0.1833795,0.2181696,7.7121892,0.0045771,4.8573217,829.3632812,8.0917826
123,123,-106.879868163382980,47.675276469380719,0.2020809,0.2037565,7.9080658,0.0046227,5.0600324,769.9804688,8.4966326
