OBJECTID,YEAR_PM25_train_pnt,X,Y,ymean_2021_AOD47,ymean_2021_nNDVI,ymean_2021_TMP,ymean_2021_SPFH,ymean_2021_WIND,ymean_2021_HGT,ymean_2021_PM25
1,1,-122.460023872330908,48.921688926096692,0.2150051,0.6209087,10.1450253,0.0063658,2.9074802,132.7734375,12.2642870
2,2,-121.836817643972893,48.921688926096692,0.1777834,0.3787826,6.3172688,0.0053741,3.2266142,926.8437500,11.8302994
3,3,-121.213611415614992,48.921688926096692,0.2115861,0.3499174,3.7216501,0.0048380,3.5464454,1361.1367188,13.9092493
4,4,-120.590405187257090,48.921688926096692,0.2439302,0.3499174,1.9751258,0.0042089,3.5558496,1702.3593750,18.2419777
5,5,-119.967198958899189,48.921688926096692,0.3094916,0.3608348,4.1060195,0.0039071,3.4177721,1515.5781250,29.4776630
6,6,-119.343992730541288,48.921688926096692,0.2828441,0.4649304,8.3108482,0.0043635,2.6465592,885.6367188,51.6868973
7,7,-118.720786502183387,48.921688926096692,0.2931297,0.5210565,6.9965906,0.0041562,2.0201950,1064.5781250,32.3145180
8,8,-118.097580273825429,48.921688926096692,0.3140105,0.5210565,7.2854128,0.0043353,2.0553188,1015.1367188,30.5172729
9,9,-117.474374045467528,48.921688926096692,0.2903169,0.5672870,5.9723873,0.0044800,2.2575712,1242.2656250,20.2389297
10,10,-116.851167817109626,48.921688926096692,0.3145863,0.5350869,4.6093745,0.0045016,2.5936894,1419.1914062,18.7729492
11,11,-116.227961588751725,48.921688926096692,0.2894458,0.5509913,6.6674814,0.0047646,2.6233177,1099.4218750,16.7142315
12,12,-115.604755360393824,48.921688926096692,0.2974737,0.5092478,4.7846308,0.0044506,2.6135900,1388.1406250,16.0324192
13,13,-114.981549132035866,48.921688926096692,0.3048416,0.5092478,2.8911631,0.0041542,4.2121501,1721.1015625,13.8165350
14,14,-114.358342903677965,48.921688926096692,0.3145309,0.3645609,2.1519003,0.0041238,4.5044646,1762.7734375,11.5077028
15,15,-113.735136675320064,48.921688926096692,0.3365000,0.2751870,2.0709517,0.0041664,5.6330643,1834.6054688,9.9921665
16,16,-113.111930446962049,48.921688926096692,0.2919633,0.2200435,4.9795861,0.0042098,5.6105022,1466.5468750,9.9142170
17,17,-112.488724218604148,48.921688926096692,0.2921206,0.2200435,5.1593184,0.0043075,5.5147290,1277.7968750,9.8212442
18,18,-111.865517990246246,48.921688926096692,0.3082628,0.2053565,6.4224358,0.0042316,5.1834826,1077.7382812,10.0058584
19,19,-111.242311761888288,48.921688926096692,0.2933761,0.2243696,6.7049747,0.0042183,5.6253452,1078.8515625,10.1884871
20,20,-110.619105533530387,48.921688926096692,0.2940655,0.2244783,6.4196496,0.0041112,5.3660550,954.3437500,11.4066124
21,21,-109.995899305172486,48.921688926096692,0.3190514,0.2244783,6.8374414,0.0041691,5.0553107,849.8125000,11.6353903
22,22,-109.372693076814585,48.921688926096692,0.2875840,0.2183348,5.9052868,0.0042674,5.0578804,849.0273438,12.0256948
23,23,-108.749486848456684,48.921688926096692,0.2924473,0.2164087,5.6633501,0.0042444,5.3921981,953.6445312,11.6828661
24,24,-108.126280620098782,48.921688926096692,0.2936848,0.2229652,5.7479596,0.0041562,4.9630737,872.8281250,11.4350672
25,25,-107.503074391740881,48.921688926096692,0.2969013,0.2078609,5.6613350,0.0040727,4.7467332,813.3671875,11.2486095
26,26,-106.879868163382980,48.921688926096692,0.2961129,0.2078609,5.1652107,0.0041469,4.5983896,862.3203125,10.3652430
27,27,-106.256661935025022,48.921688926096692,0.2839311,0.2298565,5.0268183,0.0041245,4.6860471,896.8945312,9.6343021
28,28,-105.633455706667121,48.921688926096692,0.3039437,0.2380217,5.1245098,0.0041681,4.2362413,797.7656250,9.4557047
29,29,-105.010249478309220,48.921688926096692,0.2974296,0.2321652,5.3826551,0.0043263,5.0169382,763.2968750,9.3529148
30,30,-104.387043249951148,48.921688926096692,0.3161498,0.2321652,5.7845078,0.0045135,5.5237727,698.6953125,9.3033638
31,31,-103.763837021593247,48.921688926096692,0.3154564,0.2504652,5.2854438,0.0046296,5.5698705,661.1171875,9.3917360
32,32,-103.140630793235459,48.921688926096692,0.3008246,0.2882304,5.2188597,0.0047507,5.4465036,644.6367188,9.5783873
33,33,-102.517424564877444,48.921688926096692,0.2969190,0.2933217,5.2459879,0.0048803,5.4400520,626.5234375,9.6015377
34,34,-101.894218336519543,48.921688926096692,0.2954031,0.2933217,5.1500864,0.0049011,5.0980344,566.3085938,9.6289539
35,35,-101.271012108161642,48.921688926096692,0.3066302,0.3050304,5.2571473,0.0048252,4.6781878,455.1367188,9.6611671
36,36,-100.647805879803741,48.921688926096692,0.3053075,0.2976435,5.0922036,0.0048142,4.9261060,531.5781250,9.4202738
37,37,-100.024599651445840,48.921688926096692,0.2723437,0.3094304,4.6190724,0.0047370,4.7481804,627.9179688,9.1727695
38,38,-99.401393423087939,48.921688926096692,0.2871915,0.2891783,4.5614953,0.0049351,4.9898915,534.8085938,9.1799326
39,39,-98.778187194730037,48.921688926096692,0.3059615,0.2891783,4.6080794,0.0050980,4.9773750,467.3867188,9.2559357
40,40,-98.154980966372079,48.921688926096692,0.3398123,0.3201391,5.4757876,0.0050561,4.7438498,373.1562500,9.5460234
41,41,-97.531774738014178,48.921688926096692,0.3147650,0.3313870,5.7079439,0.0050199,4.5771418,251.0039062,9.9826746
42,42,-96.908568509656277,48.921688926096692,0.3138050,0.3787000,5.4556203,0.0050311,4.8765025,251.9648438,10.3584051
43,43,-96.285362281298376,48.921688926096692,0.3118076,0.3787000,5.2480931,0.0049549,4.6380587,303.4609375,10.3796453
44,44,-95.662156052940418,48.921688926096692,0.3112442,0.4367000,5.3185768,0.0051789,3.1784532,328.2500000,10.2583694
45,45,-95.038949824582517,48.921688926096692,0.3183994,0.4344696,4.4169989,0.0055706,4.7960815,319.7773438,10.6020155
46,46,-122.460023872330908,48.298482697738677,0.2342056,0.6416565,10.4258871,0.0064628,2.6250420,106.8046875,10.4869852
47,47,-121.836817643972893,48.298482697738677,0.1960657,0.5510087,7.9959006,0.0059891,2.5979886,648.0937500,8.8503599
48,48,-121.213611415614992,48.298482697738677,0.1857476,0.3607217,4.7305818,0.0050924,3.2299349,1255.3085938,11.3162394
49,49,-120.590405187257090,48.298482697738677,0.2279543,0.2902261,3.1863084,0.0043143,3.9486952,1563.9296875,51.5428391
50,50,-119.967198958899189,48.298482697738677,0.3204150,0.2902261,7.0074911,0.0041334,3.2298908,1113.6093750,51.8946724
51,51,-119.343992730541288,48.298482697738677,0.2640072,0.3452696,9.5701008,0.0042434,2.5737402,764.8984375,56.0659027
52,52,-118.720786502183387,48.298482697738677,0.2855989,0.4968696,7.9163671,0.0043030,2.3298521,1022.1953125,49.7364159
53,53,-118.097580273825429,48.298482697738677,0.2787171,0.5596392,8.9354982,0.0045706,2.6405268,851.6875000,43.0294991
54,54,-117.474374045467528,48.298482697738677,0.2421046,0.5596392,7.6804199,0.0046029,1.7623829,939.7500000,25.2642689
55,55,-116.851167817109626,48.298482697738677,0.2946693,0.5797174,8.5454626,0.0051783,2.1651211,805.7382812,18.1044426
56,56,-116.227961588751725,48.298482697738677,0.2762007,0.5071566,6.8205638,0.0048226,3.0403497,1187.1718750,20.3681297
57,57,-115.604755360393824,48.298482697738677,0.2962571,0.5144131,6.6537752,0.0045747,2.8358769,1219.1289062,22.3681946
58,58,-114.981549132035866,48.298482697738677,0.2919110,0.4552304,6.8246098,0.0044666,2.3258414,1219.8281250,16.9160461
59,59,-114.358342903677965,48.298482697738677,0.3184265,0.4552304,5.8359237,0.0047211,2.4253058,1247.9335938,15.4606047
60,60,-113.735136675320064,48.298482697738677,0.3326568,0.3870348,4.1574922,0.0043929,3.3982916,1611.3046875,11.2998934
61,61,-113.111930446962049,48.298482697738677,0.3095321,0.2988609,3.0147214,0.0041322,5.4773693,1801.8789062,10.1190691
62,62,-112.488724218604148,48.298482697738677,0.2728113,0.2439826,6.4939876,0.0041172,5.1730595,1318.3671875,10.0525475
63,63,-111.865517990246246,48.298482697738677,0.3091823,0.2439826,6.8768692,0.0042262,4.6483974,1120.5234375,10.4757862
64,64,-111.242311761888288,48.298482697738677,0.2841995,0.2292696,6.9454598,0.0043785,4.7782388,942.7500000,11.0501966
65,65,-110.619105533530387,48.298482697738677,0.2875428,0.2243870,7.0795074,0.0042323,4.7889338,924.1992188,11.5029879
66,66,-109.995899305172486,48.298482697738677,0.2890864,0.2773826,7.5569963,0.0043090,4.4796023,850.8593750,11.2944422
67,67,-109.372693076814585,48.298482697738677,0.3005391,0.2649783,6.3805571,0.0041241,4.9026546,1312.6562500,11.3559790
68,68,-108.749486848456684,48.298482697738677,0.2997512,0.2649783,8.0572910,0.0044655,4.0115809,847.7070312,11.5426683
69,69,-108.126280620098782,48.298482697738677,0.2827672,0.2168348,7.6076550,0.0044278,3.9067287,754.5703125,11.6985159
70,70,-107.503074391740881,48.298482697738677,0.2859297,0.1964783,7.3670340,0.0042683,4.4505305,745.7812500,11.9569130
71,71,-106.879868163382980,48.298482697738677,0.2680688,0.2173000,7.4916835,0.0042302,4.7860179,713.6718750,11.4255180
72,72,-106.256661935025022,48.298482697738677,0.2788488,0.2173000,6.3388271,0.0043614,4.7953587,820.0898438,10.5379906
73,73,-105.633455706667121,48.298482697738677,0.2869611,0.2187043,6.3255272,0.0043662,4.7020698,778.9843750,10.2004261
74,74,-105.010249478309220,48.298482697738677,0.3040271,0.2325870,6.3891244,0.0044452,4.6778722,710.8554688,9.9593658
75,75,-104.387043249951148,48.298482697738677,0.3210900,0.2416870,6.4492192,0.0045641,4.6912870,633.7656250,9.6785498
76,76,-103.763837021593247,48.298482697738677,0.3114024,0.2581044,6.8950849,0.0047145,5.7365689,633.9414062,9.5556145
77,77,-103.140630793235459,48.298482697738677,0.2987178,0.2581044,6.1986322,0.0048569,5.3959994,644.1601562,9.5098829
78,78,-102.517424564877444,48.298482697738677,0.2846823,0.2733478,5.7779546,0.0048404,5.2106423,677.0312500,9.5520754
79,79,-101.894218336519543,48.298482697738677,0.3080184,0.2828652,5.5893073,0.0047880,5.1697502,653.1054688,9.7011900
80,80,-101.271012108161642,48.298482697738677,0.2813766,0.3062087,6.4738183,0.0048219,5.0386477,481.6367188,9.7158957
81,81,-100.647805879803741,48.298482697738677,0.2633863,0.3062087,6.1904912,0.0049864,5.0509305,459.0976562,9.4695730
82,82,-100.024599651445840,48.298482697738677,0.2824806,0.3111087,5.7798147,0.0050644,5.2644672,470.5898438,9.1954746
83,83,-99.401393423087939,48.298482697738677,0.2812743,0.2809000,5.5578518,0.0051645,5.5261607,478.7734375,9.1259680
84,84,-98.778187194730037,48.298482697738677,0.2699703,0.2883174,5.6505456,0.0053358,5.6831174,442.9257812,9.1584225
85,85,-98.154980966372079,48.298482697738677,0.3142671,0.3158174,5.4203925,0.0052712,6.1008005,432.1718750,9.3542490
86,86,-97.531774738014178,48.298482697738677,0.3045791,0.3158174,6.1984758,0.0053093,5.0798330,269.9101562,9.6579733
87,87,-96.908568509656277,48.298482697738677,0.2948203,0.3255565,6.1680341,0.0053165,5.2422886,245.7773438,9.7871590
88,88,-96.285362281298376,48.298482697738677,0.3028000,0.3612435,5.8708987,0.0052947,5.6371756,302.9296875,9.7057896
89,89,-95.662156052940418,48.298482697738677,0.3203611,0.4092826,5.7852721,0.0054660,4.3027129,363.8359375,10.0061073
90,90,-95.038949824582517,48.298482697738677,0.3088987,0.4092826,5.9577551,0.0054713,2.9878390,367.6523438,10.2898359
91,91,-94.415743596224615,48.298482697738677,0.3255871,0.4912957,5.6790299,0.0052996,2.6971159,359.9570312,9.8335943
92,92,-93.792537367866601,48.298482697738677,0.3428107,0.5391739,5.6732016,0.0051109,2.3744571,361.0273438,9.1984863
93,93,-93.169331139508699,48.298482697738677,0.3213067,0.5229043,5.5720181,0.0051527,2.0939426,384.4531250,8.8060360
94,94,-92.546124911150798,48.298482697738677,0.3186780,0.4900217,5.0276351,0.0052184,1.6256206,376.6562500,9.1435261
95,95,-124.329642557404668,47.675276469380719,0.1900747,0.7458217,8.4796190,0.0062483,1.9392339,296.1289062,7.6697989
96,96,-123.706436329046596,47.675276469380719,0.1697081,0.6150131,6.1895638,0.0055031,2.9868226,973.5312500,6.7432213
