OBJECTID,YEAR_PM25_train_pnt,X,Y,ymean_2015_AOD47,ymean_2015_nNDVI,ymean_2015_TMP,ymean_2015_SPFH,ymean_2015_WIND,ymean_2015_HGT,ymean_2015_PM25
1,1,-122.460023872330908,48.921688926096692,0.1907260,0.6683391,11.4169722,0.0074931,2.2792308,22.6910686,10.0473967
2,2,-121.836817643972893,48.921688926096692,0.1517578,0.4548435,7.2353969,0.0058508,2.8904629,1083.5772705,9.3913345
3,3,-121.213611415614992,48.921688926096692,0.1806193,0.4106522,6.4921017,0.0055943,3.2837627,1316.1909180,9.0822887
4,4,-120.590405187257090,48.921688926096692,0.1972105,0.4106522,3.9912419,0.0049385,3.6135488,1726.7113037,9.2893925
5,5,-119.967198958899189,48.921688926096692,0.1812547,0.4015174,3.3477943,0.0045843,3.5811572,1869.9945068,20.6662865
6,6,-119.343992730541288,48.921688926096692,0.2128633,0.4941000,7.8112617,0.0048553,2.5003173,1118.5308838,36.6367149
7,7,-118.720786502183387,48.921688926096692,0.2585025,0.5541174,8.5000782,0.0048774,2.2332728,1036.3604736,34.5140076
8,8,-118.097580273825429,48.921688926096692,0.2475735,0.5541174,9.8164721,0.0052788,1.9468282,842.9696655,27.7015247
9,9,-117.474374045467528,48.921688926096692,0.2067139,0.5904217,8.8188629,0.0052198,1.9584104,1017.6932983,20.0540981
10,10,-116.851167817109626,48.921688926096692,0.2338327,0.5587913,6.5473695,0.0049668,2.4357572,1389.0350342,16.6119137
11,11,-116.227961588751725,48.921688926096692,0.2167804,0.5710043,6.7305837,0.0049404,3.2612877,1406.1445312,14.2215099
12,12,-115.604755360393824,48.921688926096692,0.2304140,0.5202739,6.4825673,0.0048813,3.3419986,1428.3714600,14.7483187
13,13,-114.981549132035866,48.921688926096692,0.2346108,0.5202739,7.0621986,0.0049592,2.6346910,1285.2026367,12.3345957
14,14,-114.358342903677965,48.921688926096692,0.2872719,0.3862652,4.8196120,0.0047869,3.1159232,1588.6359863,10.4536953
15,15,-113.735136675320064,48.921688926096692,0.2806275,0.2958174,5.2262206,0.0046867,4.6573200,1622.5577393,11.7474718
16,16,-113.111930446962049,48.921688926096692,0.2375357,0.2315609,6.1790781,0.0048188,4.4077878,1338.5985107,13.9085102
17,17,-112.488724218604148,48.921688926096692,0.2440443,0.2315609,6.3579636,0.0049037,4.4983602,1218.9656982,13.4047432
18,18,-111.865517990246246,48.921688926096692,0.2385543,0.2131826,7.0170088,0.0049927,4.5979753,1069.7792969,12.6407871
19,19,-111.242311761888288,48.921688926096692,0.2074000,0.2428652,6.8776226,0.0049516,3.8797364,1119.7637939,11.8190441
20,20,-110.619105533530387,48.921688926096692,0.2336154,0.2603869,7.1082053,0.0052260,3.5717096,889.0666504,12.3000345
21,21,-109.995899305172486,48.921688926096692,0.2247469,0.2603869,6.4215107,0.0052937,3.6878989,857.3184204,11.9250593
22,22,-109.372693076814585,48.921688926096692,0.2293607,0.2677826,6.0147624,0.0054173,3.5492089,835.4998169,11.3143816
23,23,-108.749486848456684,48.921688926096692,0.2288400,0.2765348,5.9119725,0.0055308,4.3178544,943.6301880,10.6869392
24,24,-108.126280620098782,48.921688926096692,0.2192792,0.2823218,5.9787192,0.0054272,4.1241217,843.8944092,10.7415648
25,25,-107.503074391740881,48.921688926096692,0.2299020,0.2635348,5.8683033,0.0054446,3.9590552,834.4370117,10.8073616
26,26,-106.879868163382980,48.921688926096692,0.2343592,0.2635348,5.7981787,0.0055569,3.8774660,856.5028076,10.1838379
27,27,-106.256661935025022,48.921688926096692,0.2310530,0.2797652,5.7232299,0.0055972,4.1426191,918.9241333,9.6957884
28,28,-105.633455706667121,48.921688926096692,0.2569810,0.2833217,5.9817472,0.0055322,4.0022817,833.9731445,9.5844774
29,29,-105.010249478309220,48.921688926096692,0.2356820,0.2746174,6.5612011,0.0059340,3.5470715,718.5258179,9.6162806
30,30,-104.387043249951148,48.921688926096692,0.2437754,0.2746174,6.3276372,0.0060924,3.6848438,697.3521729,9.7008762
31,31,-103.763837021593247,48.921688926096692,0.2571010,0.2973261,5.8904767,0.0062907,4.0561047,663.7235107,9.8034887
32,32,-103.140630793235459,48.921688926096692,0.2727433,0.3424826,5.7574697,0.0065902,4.4659920,625.4003906,9.9476948
33,33,-102.517424564877444,48.921688926096692,0.2901578,0.3314478,5.5894136,0.0066674,4.3002000,578.6250610,9.8055773
34,34,-101.894218336519543,48.921688926096692,0.2679449,0.3314478,5.4647870,0.0067371,4.0653248,529.4918823,9.4416637
35,35,-101.271012108161642,48.921688926096692,0.2530254,0.3473870,5.4289212,0.0069340,3.8332138,471.4178467,9.4088297
36,36,-100.647805879803741,48.921688926096692,0.2700422,0.3291087,5.2954011,0.0070297,3.9710479,464.1490173,9.2005129
37,37,-100.024599651445840,48.921688926096692,0.2692862,0.3269913,4.5476794,0.0067697,4.8957291,587.3018799,9.0415258
38,38,-99.401393423087939,48.921688926096692,0.2672904,0.3106261,4.5288520,0.0067816,4.8014393,478.3159485,9.2930918
39,39,-98.778187194730037,48.921688926096692,0.2892579,0.3106261,4.5724306,0.0068648,4.6062374,470.1360168,9.3799829
40,40,-98.154980966372079,48.921688926096692,0.2881000,0.3465174,5.1072078,0.0070053,4.5322809,436.6486511,9.2213297
41,41,-97.531774738014178,48.921688926096692,0.2551146,0.3407609,5.3721514,0.0071452,3.8541591,241.3832092,8.8619051
42,42,-96.908568509656277,48.921688926096692,0.2472147,0.3856261,5.1436486,0.0072403,3.8710339,282.7685852,8.2771893
43,43,-96.285362281298376,48.921688926096692,0.2302988,0.3856261,5.0899453,0.0072628,3.4004242,320.6046753,7.7656631
44,44,-95.662156052940418,48.921688926096692,0.2703792,0.4548304,5.4740319,0.0072821,2.9791317,340.9550476,7.4040542
45,45,-95.038949824582517,48.921688926096692,0.2586933,0.4514956,5.0803647,0.0072678,3.7239411,326.5333252,7.1341319
46,46,-122.460023872330908,48.298482697738677,0.2261460,0.6850870,11.3213549,0.0074107,2.6813293,29.7538242,9.9814348
47,47,-121.836817643972893,48.298482697738677,0.1788880,0.6292869,10.3549109,0.0065795,2.4705701,471.3299561,8.9717464
48,48,-121.213611415614992,48.298482697738677,0.1779958,0.4255217,5.7571115,0.0053669,3.4394765,1464.8489990,11.4501781
49,49,-120.590405187257090,48.298482697738677,0.2790475,0.3183826,6.4594064,0.0049667,3.1543288,1449.3226318,15.0519381
50,50,-119.967198958899189,48.298482697738677,0.2652074,0.3183826,10.2351112,0.0050220,2.9250076,780.4198608,42.2701111
51,51,-119.343992730541288,48.298482697738677,0.2518048,0.3592044,10.8946304,0.0049170,3.1294749,692.7328491,76.0126495
52,52,-118.720786502183387,48.298482697738677,0.2963221,0.5353783,9.3305254,0.0048593,2.3327930,1000.8675537,81.8557816
53,53,-118.097580273825429,48.298482697738677,0.2551420,0.5694957,10.4055443,0.0052017,1.9371389,762.2087402,49.5253944
54,54,-117.474374045467528,48.298482697738677,0.2164216,0.5694957,9.2623816,0.0051883,2.0246861,844.1413574,30.8896198
55,55,-116.851167817109626,48.298482697738677,0.2461814,0.6024565,8.6859264,0.0054125,2.0225503,873.7236938,21.3139534
56,56,-116.227961588751725,48.298482697738677,0.2283271,0.5534609,9.0336285,0.0055743,2.4513218,925.6519775,16.4555988
57,57,-115.604755360393824,48.298482697738677,0.2864327,0.5379348,8.4440422,0.0049773,2.1262681,1066.9488525,16.1651287
58,58,-114.981549132035866,48.298482697738677,0.2481264,0.4720652,6.7478781,0.0048312,2.6188567,1397.1456299,13.2217741
59,59,-114.358342903677965,48.298482697738677,0.2936722,0.4720652,7.9487085,0.0053621,2.4344835,1094.7209473,12.2871952
60,60,-113.735136675320064,48.298482697738677,0.2844232,0.4172609,6.4305291,0.0050445,2.8815663,1470.8648682,15.8408823
