OBJECTID,YEAR_PM25_train_pnt,X,Y,ymean_2017_AOD47,ymean_2017_nNDVI,ymean_2017_TMP,ymean_2017_SPFH,ymean_2017_WIND,ymean_2017_HGT,ymean_2017_PM25
1,1,-122.460023872330908,48.921688926096692,0.2956549,0.6249174,10.0705423,0.0063246,2.7272191,25.2699242,15.8954792
2,2,-121.836817643972893,48.921688926096692,0.2960875,0.3845783,6.0550742,0.0050380,2.9943054,1094.4896240,14.5756550
3,3,-121.213611415614992,48.921688926096692,0.3166106,0.3623609,5.2124972,0.0046283,3.0387793,1318.3789062,18.1432571
4,4,-120.590405187257090,48.921688926096692,0.3992280,0.3623609,2.6867681,0.0040878,3.3026659,1730.9335938,37.6479759
5,5,-119.967198958899189,48.921688926096692,0.4057484,0.3493478,1.9851718,0.0038574,3.2926686,1879.4335938,57.2083244
6,6,-119.343992730541288,48.921688926096692,0.3494087,0.4366478,6.0132723,0.0042295,1.7146463,1125.5976562,34.6490021
7,7,-118.720786502183387,48.921688926096692,0.3771576,0.4917391,6.5946202,0.0043012,2.0167651,1040.5898438,22.1514511
8,8,-118.097580273825429,48.921688926096692,0.3670304,0.4917391,7.7119184,0.0045690,1.7006153,855.1599731,22.8785381
9,9,-117.474374045467528,48.921688926096692,0.3450124,0.5256522,6.9454904,0.0045205,1.8095773,1019.5451050,18.3733768
10,10,-116.851167817109626,48.921688926096692,0.3353498,0.4965348,4.8089733,0.0042964,2.1575766,1399.3255615,16.0247898
11,11,-116.227961588751725,48.921688926096692,0.3266019,0.5133957,4.8805089,0.0042365,2.6233351,1406.5859375,20.1681633
12,12,-115.604755360393824,48.921688926096692,0.3428317,0.4716609,4.7231984,0.0041370,2.4221210,1427.1562500,30.7068634
13,13,-114.981549132035866,48.921688926096692,0.4054039,0.4716609,5.6648302,0.0043071,2.1024618,1278.5554199,37.6913109
14,14,-114.358342903677965,48.921688926096692,0.3823887,0.3468913,3.2087414,0.0040649,3.6124344,1595.5742188,37.7831383
15,15,-113.735136675320064,48.921688926096692,0.3328804,0.2693609,3.8574004,0.0038857,4.7981491,1624.1796875,35.2570610
16,16,-113.111930446962049,48.921688926096692,0.2548579,0.2266000,4.7006173,0.0038927,4.3303170,1338.0155029,20.1148224
17,17,-112.488724218604148,48.921688926096692,0.3041625,0.2266000,5.0482683,0.0040003,5.0451093,1217.4105225,14.7476835
18,18,-111.865517990246246,48.921688926096692,0.2957038,0.2118609,5.9491439,0.0040595,5.3095703,1066.9960938,12.1956882
19,19,-111.242311761888288,48.921688926096692,0.2307228,0.2333609,5.8114419,0.0040574,3.5886588,1118.5390625,10.7913570
20,20,-110.619105533530387,48.921688926096692,0.2813696,0.2359348,6.3274703,0.0040563,3.4879594,886.6954956,11.7208366
21,21,-109.995899305172486,48.921688926096692,0.2782793,0.2359348,5.7602458,0.0041033,3.5063248,853.7656250,11.6569014
22,22,-109.372693076814585,48.921688926096692,0.2476867,0.2434217,5.2741847,0.0040836,3.5518286,833.4119263,10.6981754
23,23,-108.749486848456684,48.921688926096692,0.2554020,0.2398609,5.3477974,0.0041332,4.5160861,940.8125000,9.9707651
24,24,-108.126280620098782,48.921688926096692,0.2454879,0.2487783,5.3368783,0.0039863,4.4849219,839.6250000,9.7587490
25,25,-107.503074391740881,48.921688926096692,0.2518635,0.2279478,5.2281890,0.0039489,4.4155359,829.6640625,9.4299593
26,26,-106.879868163382980,48.921688926096692,0.2517096,0.2279478,4.9888215,0.0040572,4.2116852,851.3125000,8.5505447
27,27,-106.256661935025022,48.921688926096692,0.2654894,0.2375435,5.1857386,0.0042493,4.3263335,912.0781250,7.9532142
28,28,-105.633455706667121,48.921688926096692,0.2626989,0.2448348,5.2530375,0.0042135,4.0457449,832.9023438,7.6743603
29,29,-105.010249478309220,48.921688926096692,0.2442513,0.2398565,5.6813679,0.0044140,4.0822215,717.0859375,7.3458972
30,30,-104.387043249951148,48.921688926096692,0.2484766,0.2398565,5.3726988,0.0044373,4.5683093,697.6367188,7.1294518
31,31,-103.763837021593247,48.921688926096692,0.2714274,0.2564609,5.0011625,0.0044976,4.8546815,662.3834229,7.0432415
32,32,-103.140630793235459,48.921688926096692,0.2740526,0.2948739,5.0275159,0.0046851,4.9172006,624.1318359,7.0747724
33,33,-102.517424564877444,48.921688926096692,0.2851586,0.2878043,4.3649182,0.0048207,4.8894062,577.3710938,7.0307970
34,34,-101.894218336519543,48.921688926096692,0.2661707,0.2878043,4.0626383,0.0048136,4.9573755,530.6914062,6.9035015
35,35,-101.271012108161642,48.921688926096692,0.2548673,0.3118087,4.1300735,0.0048591,4.6340623,472.6015625,6.7640018
36,36,-100.647805879803741,48.921688926096692,0.2705337,0.2999565,4.2372231,0.0048899,4.2495661,462.8437500,6.5585475
37,37,-100.024599651445840,48.921688926096692,0.2817733,0.3053174,3.5252917,0.0047591,5.0183411,590.0241089,6.3714404
38,38,-99.401393423087939,48.921688926096692,0.2901433,0.2914652,3.4742625,0.0048888,4.7941270,477.6914062,6.2797933
39,39,-98.778187194730037,48.921688926096692,0.2920289,0.2914652,3.5396903,0.0049369,4.6851850,468.1777344,6.3149257
40,40,-98.154980966372079,48.921688926096692,0.2629180,0.3119348,4.1005168,0.0049270,4.7577434,437.0000000,6.5095611
41,41,-97.531774738014178,48.921688926096692,0.2588007,0.3145956,4.3884387,0.0049175,4.0621600,239.9921875,6.6270103
42,42,-96.908568509656277,48.921688926096692,0.2527953,0.3597435,4.1241298,0.0049315,3.7721496,281.5000000,6.5098872
43,43,-96.285362281298376,48.921688926096692,0.2548800,0.3597435,4.0602689,0.0048651,3.1264381,319.9006042,6.3634453
44,44,-95.662156052940418,48.921688926096692,0.2466745,0.4293739,4.2016125,0.0048145,2.8508046,339.8554688,6.1950226
45,45,-95.038949824582517,48.921688926096692,0.2256946,0.4322174,3.9905512,0.0049398,3.5086436,326.8213806,5.9890909
46,46,-122.460023872330908,48.298482697738677,0.2589515,0.6665130,10.2188168,0.0063434,2.8232105,33.3822212,14.7621365
47,47,-121.836817643972893,48.298482697738677,0.2536212,0.5784783,8.9168520,0.0058419,2.3542297,479.8242188,12.2558861
48,48,-121.213611415614992,48.298482697738677,0.2995044,0.3690000,4.4935160,0.0044677,3.4983249,1468.7656250,12.2529564
49,49,-120.590405187257090,48.298482697738677,0.3339935,0.2973304,4.9769554,0.0041368,3.1177588,1455.7290039,22.8478508
50,50,-119.967198958899189,48.298482697738677,0.3369892,0.2973304,8.0515099,0.0043362,2.0876527,775.4947510,35.1668358
51,51,-119.343992730541288,48.298482697738677,0.3175745,0.3369130,8.7868395,0.0043630,2.7349370,690.5078125,27.5784302
52,52,-118.720786502183387,48.298482697738677,0.3340723,0.4641826,7.1822548,0.0042965,1.5268626,1007.5820312,19.5157604
53,53,-118.097580273825429,48.298482697738677,0.3493472,0.5232348,8.2777910,0.0046403,1.6472927,766.8922729,18.2084122
54,54,-117.474374045467528,48.298482697738677,0.3265226,0.5232348,7.5535221,0.0047814,1.3696022,847.5945435,17.4186325
55,55,-116.851167817109626,48.298482697738677,0.3388062,0.5496696,7.1226006,0.0048122,1.5986573,879.0800781,17.3736744
56,56,-116.227961588751725,48.298482697738677,0.2930488,0.4803044,7.3027840,0.0049608,2.0829694,930.2972412,18.5568371
57,57,-115.604755360393824,48.298482697738677,0.3380264,0.4878087,7.1965103,0.0044042,1.5737808,1069.9024658,28.6676159
